Experiment	Z spectroscopy	
Date	06.05.2022 12:28:52	
User		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	-109.462E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-500E-12	
Settling time (s)	200E-6	
Integration time (s)	15E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Comment01	z spectro on Pb	
Bias>Bias (V)	10E-3	
Bias>Calibration (V/V)	9.73E-3	
Bias>Offset (V)	3.944E-3	
Current>Current (A)	318.578E-12	
Current>Calibration (A/V)	10E-9	
Current>Offset (A)	8.15283E-12	
Current>Gain	n/a	
NanonisMain>Session Path	F:\Nanonis data\2022\2022-04-07-Ga\2022-05-06	
NanonisMain>SW Version	Generic 4	
NanonisMain>UI Release	10022	
NanonisMain>RT Release	8987	
NanonisMain>RT Frequency (Hz)	15E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Piezo Calibration>Active Calib.	LT	
Piezo Calibration>Calib. X (m/V)	10.56E-9	
Piezo Calibration>Calib. Y (m/V)	-10.26E-9	
Piezo Calibration>Calib. Z (m/V)	1.34E-9	
Piezo Calibration>HV Gain X	15	
Piezo Calibration>HV Gain Y	15	
Piezo Calibration>HV Gain Z	15	
Piezo Calibration>Tilt X (deg)	2.6391	
Piezo Calibration>Tilt Y (deg)	2.64824	
Piezo Calibration>Curvature radius X (m)	Inf	
Piezo Calibration>Curvature radius Y (m)	Inf	
Piezo Calibration>2nd order corr X (V/m^2)	0E+0	
Piezo Calibration>2nd order corr Y (V/m^2)	0E+0	
Piezo Calibration>Drift X (m/s)	0E+0	
Piezo Calibration>Drift Y (m/s)	0E+0	
Piezo Calibration>Drift Z (m/s)	0E+0	
Piezo Calibration>Drift correction status (on/off)	FALSE	
Z Spectroscopy>Initial Z-offset (m)	0E+0	
Z Spectroscopy>Sweep distance (m)	500E-12	
Z Spectroscopy>Num Pixel	200	
Z Spectroscopy>Z Avg time (s)	100E-3	
Z Spectroscopy>1st Settling time (s)	5E-3	
Z Spectroscopy>Settling time (s)	200E-6	
Z Spectroscopy>Integration time (s)	15E-3	
Z Spectroscopy>End Settling time (s)	5E-3	
Z Spectroscopy>Z control time (s)	200E-3	
Z Spectroscopy>Max Slew rate (V/s)	Inf	
Z Spectroscopy>backward sweep	TRUE	
Z Spectroscopy>Number of sweeps	3	
Z Spectroscopy>Channels	Current (A)	
Z Spectroscopy>Time between fwd/bwd (s)	0E+0	
Z Spectroscopy>Record final Z	FALSE	
Z Spectroscopy>Lock-In run	FALSE	
Z-Controller>Z (m)	-109.459E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	300E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1.96304E-12	
Z-Controller>I gain	8.11131E-9	
Z-Controller>Time const (s)	242.013E-6	
Z-Controller>TipLift (m)	10E-9	
Z-Controller>Switch off delay (s)	50E-3	

[DATA]
Z rel (m)	Current [AVG] (A)	Current [00001] (A)	Current [00002] (A)	Current [00003] (A)	Current [AVG] [bwd] (A)	Current [00001] [bwd] (A)	Current [00002] [bwd] (A)	Current [00003] [bwd] (A)
120.603E-12	23.6621E-12	18.0028E-12	27.3055E-12	25.6780E-12	21.1708E-12	15.7611E-12	24.5529E-12	23.1985E-12
123.116E-12	22.5165E-12	17.3738E-12	24.6249E-12	25.5509E-12	20.4422E-12	15.7850E-12	22.6845E-12	22.8572E-12
125.628E-12	21.1819E-12	16.1990E-12	23.3451E-12	24.0016E-12	19.3844E-12	14.7562E-12	22.1401E-12	21.2569E-12
128.141E-12	19.8157E-12	14.3851E-12	23.1044E-12	21.9575E-12	18.6470E-12	13.1125E-12	21.4666E-12	21.3619E-12
130.653E-12	18.9698E-12	13.7925E-12	22.2707E-12	20.8461E-12	17.8803E-12	12.7831E-12	19.8438E-12	21.0139E-12
133.166E-12	18.6642E-12	14.3729E-12	20.1327E-12	21.4870E-12	16.7762E-12	12.7607E-12	18.1186E-12	19.4492E-12
135.678E-12	18.0752E-12	14.3144E-12	19.1320E-12	20.7793E-12	15.5865E-12	12.3009E-12	17.3232E-12	17.1355E-12
138.191E-12	16.5378E-12	12.1234E-12	19.0366E-12	18.4534E-12	14.6671E-12	10.5263E-12	17.9637E-12	15.5113E-12
140.704E-12	15.5039E-12	11.1381E-12	18.1546E-12	17.2189E-12	14.0562E-12	10.0716E-12	16.7901E-12	15.3070E-12
143.216E-12	14.9338E-12	11.7288E-12	16.0210E-12	17.0517E-12	14.0400E-12	11.1573E-12	15.3408E-12	15.6220E-12
145.729E-12	14.3094E-12	11.2958E-12	15.1714E-12	16.4609E-12	13.4426E-12	10.2917E-12	14.6185E-12	15.4175E-12
148.241E-12	13.4584E-12	9.77765E-12	15.2953E-12	15.3022E-12	12.4467E-12	8.47674E-12	15.0173E-12	13.8462E-12
150.754E-12	12.8647E-12	9.30170E-12	15.0224E-12	14.2699E-12	11.6378E-12	8.06517E-12	14.0025E-12	12.8459E-12
153.266E-12	12.3110E-12	9.74080E-12	13.7950E-12	13.3972E-12	11.2519E-12	8.54860E-12	11.9598E-12	13.2473E-12
155.779E-12	11.7964E-12	9.52722E-12	12.4942E-12	13.3676E-12	10.7934E-12	8.43686E-12	11.7638E-12	12.1796E-12
158.291E-12	11.4432E-12	8.67311E-12	12.4017E-12	13.2546E-12	9.72035E-12	7.56209E-12	11.4703E-12	10.1287E-12
160.804E-12	10.6094E-12	7.64084E-12	12.7072E-12	11.4800E-12	9.10209E-12	6.41585E-12	11.4057E-12	9.48471E-12
163.317E-12	10.2824E-12	7.50642E-12	12.4305E-12	10.9103E-12	9.15466E-12	6.48205E-12	10.6682E-12	10.3137E-12
165.829E-12	10.1860E-12	8.38807E-12	10.3635E-12	11.8065E-12	9.17524E-12	7.45702E-12	9.42823E-12	10.6405E-12
168.342E-12	9.49665E-12	7.63902E-12	9.91814E-12	10.9328E-12	8.78128E-12	6.91225E-12	9.21282E-12	10.2188E-12
170.854E-12	8.51250E-12	6.39966E-12	10.3123E-12	8.82555E-12	7.72074E-12	5.25342E-12	9.23368E-12	8.67513E-12
173.367E-12	8.22840E-12	5.80852E-12	10.0872E-12	8.78951E-12	7.34055E-12	4.77909E-12	8.87940E-12	8.36317E-12
175.879E-12	8.07630E-12	6.61445E-12	8.42775E-12	9.18671E-12	7.28231E-12	6.10895E-12	7.50683E-12	8.23117E-12
178.392E-12	7.75624E-12	6.39379E-12	8.03743E-12	8.83749E-12	6.81750E-12	5.84860E-12	7.24385E-12	7.36005E-12
180.905E-12	7.01806E-12	5.01048E-12	8.25810E-12	7.78559E-12	6.17481E-12	4.29909E-12	7.99856E-12	6.22677E-12
183.417E-12	6.52321E-12	4.36914E-12	8.16457E-12	7.03594E-12	6.09349E-12	4.16872E-12	7.69591E-12	6.41585E-12
185.930E-12	6.43643E-12	5.09267E-12	6.95861E-12	7.25802E-12	6.17656E-12	5.09085E-12	6.16725E-12	7.27158E-12
188.442E-12	6.44885E-12	5.12021E-12	6.65858E-12	7.56776E-12	6.23932E-12	5.17244E-12	6.24843E-12	7.29709E-12
190.955E-12	6.02918E-12	4.37197E-12	6.27515E-12	7.44042E-12	5.41301E-12	4.06162E-12	6.63348E-12	5.54392E-12
193.467E-12	5.49979E-12	3.88772E-12	6.81325E-12	5.79840E-12	5.03370E-12	3.36218E-12	6.44986E-12	5.28905E-12
195.980E-12	5.16292E-12	3.93489E-12	6.17332E-12	5.38055E-12	4.90467E-12	3.51037E-12	5.46295E-12	5.74070E-12
198.492E-12	5.18695E-12	4.15090E-12	5.34128E-12	6.06866E-12	4.74326E-12	3.84379E-12	4.86877E-12	5.51720E-12
201.005E-12	5.01136E-12	4.39323E-12	4.79528E-12	5.84557E-12	4.42022E-12	3.75168E-12	5.03619E-12	4.47279E-12
203.518E-12	4.52489E-12	2.97349E-12	5.94314E-12	4.65803E-12	3.90500E-12	2.26959E-12	5.23762E-12	4.20779E-12
206.030E-12	4.17337E-12	2.61070E-12	5.74697E-12	4.16244E-12	4.02707E-12	2.77468E-12	4.75560E-12	4.55093E-12
208.543E-12	4.47515E-12	3.86303E-12	4.36489E-12	5.19754E-12	4.06608E-12	3.64722E-12	3.71625E-12	4.83476E-12
211.055E-12	4.02707E-12	3.43162E-12	3.89177E-12	4.75783E-12	3.77503E-12	3.16054E-12	3.56786E-12	4.59669E-12
213.568E-12	3.76234E-12	2.27121E-12	4.99105E-12	4.02478E-12	3.43492E-12	2.08597E-12	4.68171E-12	3.53709E-12
216.080E-12	3.25009E-12	2.01774E-12	4.56247E-12	3.17006E-12	3.30131E-12	2.47628E-12	4.41469E-12	3.01296E-12
218.593E-12	3.67873E-12	3.26561E-12	3.76018E-12	4.01041E-12	3.42068E-12	3.07451E-12	3.15933E-12	4.02822E-12
221.106E-12	3.51192E-12	2.82651E-12	3.52697E-12	4.18228E-12	3.16574E-12	2.79878E-12	2.93158E-12	3.76687E-12
223.618E-12	3.40321E-12	2.33619E-12	3.88388E-12	3.98955E-12	2.92847E-12	1.98029E-12	4.05737E-12	2.74776E-12
226.131E-12	2.70518E-12	1.67521E-12	3.75897E-12	2.68136E-12	2.79061E-12	1.73756E-12	4.12479E-12	2.50948E-12
228.643E-12	2.82415E-12	2.38133E-12	3.49863E-12	2.59248E-12	2.81234E-12	2.16897E-12	2.52487E-12	3.74318E-12
231.156E-12	2.88306E-12	2.46758E-12	2.49167E-12	3.68994E-12	2.79466E-12	2.32485E-12	2.65241E-12	3.40672E-12
233.668E-12	2.86140E-12	2.42263E-12	2.48620E-12	3.67536E-12	2.39854E-12	2.38478E-12	2.74047E-12	2.07038E-12
236.181E-12	2.30198E-12	1.54564E-12	3.33444E-12	2.02584E-12	2.11364E-12	1.39624E-12	3.11135E-12	1.83332E-12
238.693E-12	2.25049E-12	1.47479E-12	3.35813E-12	1.91855E-12	2.18260E-12	1.24481E-12	2.75221E-12	2.55078E-12
241.206E-12	2.23888E-12	1.83878E-12	1.80113E-12	3.07673E-12	2.44025E-12	2.46697E-12	2.04305E-12	2.81072E-12
243.719E-12	2.60740E-12	2.51839E-12	2.08111E-12	3.22269E-12	2.19056E-12	2.21310E-12	2.04426E-12	2.31433E-12
246.231E-12	2.04487E-12	951.874E-15	2.97004E-12	2.21270E-12	1.77751E-12	949.647E-15	3.03422E-12	1.34867E-12
248.744E-12	1.91389E-12	944.789E-15	2.88441E-12	1.91247E-12	1.75639E-12	739.308E-15	2.85121E-12	1.67865E-12
