1.47000E-3	981.705E-12	1.63971E+0	31.7122E-3	979.499E-12	1.61891E+0	25.3136E-3	978.304E-12	1.65525E+0	3.89863E-3	987.311E-12	1.64497E+0	65.9244E-3	991.783E-12	1.65300E+0	-7.42214E-3	988.459E-12	1.67004E+0	-25.5557E-3	995.114E-12	1.64656E+0	216.211E-6	991.775E-12	1.64241E+0	3.07303E-3
1.46700E-3	979.627E-12	1.62539E+0	38.6156E-3	978.285E-12	1.62128E+0	29.3472E-3	977.440E-12	1.63828E+0	23.5619E-3	983.155E-12	1.61662E+0	62.9377E-3	989.505E-12	1.65035E+0	-20.6831E-3	983.599E-12	1.66727E+0	-23.3711E-3	993.596E-12	1.64272E+0	-29.2298E-3	991.320E-12	1.64107E+0	-9.44826E-3
1.46400E-3	976.862E-12	1.62587E+0	31.1393E-3	972.906E-12	1.63910E+0	32.1698E-3	976.402E-12	1.61789E+0	31.8894E-3	981.279E-12	1.62062E+0	29.3586E-3	987.762E-12	1.62263E+0	-10.5440E-3	982.173E-12	1.62797E+0	-18.5986E-3	992.691E-12	1.60154E+0	-26.5840E-3	988.423E-12	1.63839E+0	13.5505E-3
1.46100E-3	973.751E-12	1.61559E+0	15.3287E-3	971.727E-12	1.62605E+0	15.2034E-3	973.351E-12	1.59918E+0	13.1911E-3	976.177E-12	1.62153E+0	17.5916E-3	984.551E-12	1.60792E+0	35.4229E-6	980.885E-12	1.60320E+0	2.46593E-3	989.015E-12	1.59685E+0	-15.1755E-3	983.754E-12	1.62372E+0	12.8159E-3
1.45800E-3	972.037E-12	1.60918E+0	13.3631E-3	969.230E-12	1.59775E+0	15.9179E-3	971.842E-12	1.59598E+0	2.65276E-3	975.040E-12	1.63382E+0	21.5185E-3	981.993E-12	1.61523E+0	-5.42296E-3	977.245E-12	1.60078E+0	17.2497E-3	986.538E-12	1.61239E+0	-10.6760E-3	982.195E-12	1.63252E+0	-22.8426E-3
1.45500E-3	971.228E-12	1.60341E+0	-5.29993E-3	968.357E-12	1.59132E+0	29.3751E-3	969.795E-12	1.58872E+0	-40.6592E-3	975.531E-12	1.63018E+0	-4.61569E-3	980.210E-12	1.62610E+0	-9.31440E-3	976.225E-12	1.61306E+0	12.4626E-3	983.250E-12	1.61830E+0	-15.6247E-3	981.154E-12	1.64693E+0	-24.7810E-3
1.45200E-3	970.872E-12	1.61141E+0	-5.67670E-3	969.150E-12	1.61638E+0	52.0052E-3	971.001E-12	1.58378E+0	-53.9342E-3	972.464E-12	1.63408E+0	-15.1010E-3	977.326E-12	1.62200E+0	-5.17064E-3	972.618E-12	1.59666E+0	15.5162E-3	980.557E-12	1.64506E+0	-31.4078E-3	978.802E-12	1.62429E+0	379.735E-6
1.44900E-3	967.291E-12	1.63391E+0	634.678E-6	965.389E-12	1.62351E+0	43.6892E-3	963.625E-12	1.62878E+0	-34.4240E-3	972.858E-12	1.64943E+0	-7.36119E-3	974.215E-12	1.61951E+0	3.85522E-3	971.880E-12	1.59119E+0	9.10765E-3	978.983E-12	1.67402E+0	-17.3891E-3	971.781E-12	1.59331E+0	19.8471E-3
1.44600E-3	964.245E-12	1.62863E+0	5.49963E-3	962.046E-12	1.59675E+0	23.3356E-3	961.086E-12	1.62887E+0	14.7086E-3	969.603E-12	1.66027E+0	-21.5453E-3	972.398E-12	1.62911E+0	707.766E-6	969.902E-12	1.60268E+0	-5.48346E-3	976.886E-12	1.67437E+0	12.9530E-3	970.406E-12	1.61026E+0	-5.34625E-3
1.44300E-3	963.237E-12	1.61806E+0	-4.85592E-3	960.108E-12	1.60991E+0	38.6241E-3	961.851E-12	1.61781E+0	126.189E-6	967.752E-12	1.62645E+0	-53.3181E-3	972.193E-12	1.64147E+0	-6.18510E-3	968.288E-12	1.61586E+0	-30.5346E-3	976.526E-12	1.65411E+0	2.49963E-3	971.765E-12	1.65444E+0	9.47972E-3
