Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-13.7019E+0	21.4915E+3	77.3795E-9	35.2894E+0
-13.6256E+0	21.4915E+3	77.7723E-9	34.6578E+0
-13.5492E+0	21.4915E+3	77.2598E-9	35.3016E+0
-13.4729E+0	21.4915E+3	78.3169E-9	34.0995E+0
-13.3965E+0	21.4915E+3	73.4713E-9	34.6088E+0
-13.3202E+0	21.4915E+3	76.4674E-9	34.4261E+0
-13.2439E+0	21.4915E+3	74.0457E-9	33.1599E+0
-13.1675E+0	21.4915E+3	74.9858E-9	33.2290E+0
-13.0912E+0	21.4915E+3	71.8412E-9	33.0875E+0
-13.0148E+0	21.4915E+3	76.7628E-9	32.7736E+0
-12.9385E+0	21.4915E+3	71.3858E-9	32.4979E+0
-12.8622E+0	21.4915E+3	74.1598E-9	31.8407E+0
-12.7858E+0	21.4915E+3	71.4214E-9	31.6283E+0
-12.7095E+0	21.4915E+3	73.5354E-9	30.5196E+0
-12.6332E+0	21.4915E+3	74.1456E-9	31.2491E+0
-12.5568E+0	21.4915E+3	73.7318E-9	30.2082E+0
-12.4805E+0	21.4915E+3	73.3973E-9	30.0027E+0
-12.4041E+0	21.4915E+3	73.2704E-9	31.8870E+0
-12.3278E+0	21.4915E+3	71.7261E-9	31.7286E+0
-12.2515E+0	21.4915E+3	72.6835E-9	29.4169E+0
-12.1751E+0	21.4915E+3	73.6488E-9	29.6724E+0
-12.0988E+0	21.4915E+3	71.2594E-9	29.5103E+0
-12.0225E+0	21.4915E+3	72.0239E-9	29.1773E+0
-11.9461E+0	21.4915E+3	71.8673E-9	28.9534E+0
-11.8698E+0	21.4915E+3	69.3648E-9	27.8639E+0
-11.7934E+0	21.4915E+3	68.3146E-9	28.6373E+0
-11.7171E+0	21.4915E+3	71.9665E-9	28.5022E+0
-11.6408E+0	21.4915E+3	70.0986E-9	27.6892E+0
-11.5644E+0	21.4915E+3	69.6025E-9	28.4422E+0
-11.4881E+0	21.4915E+3	68.3938E-9	29.1182E+0
-11.4118E+0	21.4915E+3	70.0717E-9	27.3491E+0
-11.3354E+0	21.4915E+3	70.9042E-9	25.8604E+0
-11.2591E+0	21.4915E+3	68.0592E-9	27.8164E+0
-11.1827E+0	21.4915E+3	69.0225E-9	26.9750E+0
-11.1064E+0	21.4915E+3	68.1308E-9	25.2559E+0
-11.0301E+0	21.4915E+3	68.0753E-9	27.2575E+0
-10.9537E+0	21.4915E+3	68.5847E-9	26.1844E+0
-10.8774E+0	21.4915E+3	64.6909E-9	23.0881E+0
-10.8011E+0	21.4915E+3	67.7645E-9	25.3338E+0
-10.7247E+0	21.4915E+3	67.3498E-9	25.8566E+0
-10.6484E+0	21.4915E+3	64.8967E-9	25.8083E+0
-10.5720E+0	21.4915E+3	66.0878E-9	24.7302E+0
-10.4957E+0	21.4915E+3	65.0056E-9	23.2730E+0
-10.4194E+0	21.4915E+3	63.6859E-9	23.0598E+0
-10.3430E+0	21.4915E+3	65.3380E-9	23.6904E+0
-10.2667E+0	21.4915E+3	65.3503E-9	24.6842E+0
-10.1903E+0	21.4915E+3	65.3423E-9	23.2795E+0
-10.1140E+0	21.4915E+3	63.7037E-9	23.6234E+0
-10.0377E+0	21.4915E+3	66.3563E-9	23.6965E+0
-9.96134E+0	21.4915E+3	63.0032E-9	22.4911E+0
-9.88500E+0	21.4915E+3	63.6244E-9	22.8765E+0
-9.80866E+0	21.4915E+3	64.4341E-9	23.5176E+0
-9.73232E+0	21.4915E+3	64.5209E-9	22.7243E+0
-9.65598E+0	21.4915E+3	64.1630E-9	23.9064E+0
-9.57965E+0	21.4915E+3	63.4395E-9	21.9806E+0
-9.50331E+0	21.4915E+3	63.3827E-9	22.7060E+0
-9.42697E+0	21.4915E+3	61.8063E-9	23.0258E+0
-9.35063E+0	21.4915E+3	61.8569E-9	23.2097E+0
-9.27430E+0	21.4915E+3	62.4631E-9	22.2258E+0
-9.19796E+0	21.4915E+3	63.1172E-9	21.2096E+0
-9.12162E+0	21.4915E+3	61.7866E-9	22.3545E+0
-9.04528E+0	21.4915E+3	61.1351E-9	21.1088E+0
-8.96894E+0	21.4915E+3	60.2222E-9	20.4855E+0
-8.89261E+0	21.4915E+3	61.9021E-9	21.1022E+0
-8.81627E+0	21.4915E+3	60.2991E-9	20.6813E+0
-8.73993E+0	21.4915E+3	61.3212E-9	21.3274E+0
-8.66359E+0	21.4915E+3	58.8512E-9	21.5983E+0
-8.58726E+0	21.4915E+3	59.7340E-9	19.6818E+0
-8.51092E+0	21.4915E+3	57.1950E-9	20.0715E+0
-8.43458E+0	21.4915E+3	60.1203E-9	20.5944E+0
-8.35824E+0	21.4915E+3	57.7450E-9	20.4166E+0
-8.28190E+0	21.4915E+3	59.8012E-9	18.9660E+0
-8.20557E+0	21.4915E+3	58.9844E-9	19.1266E+0
-8.12923E+0	21.4915E+3	60.0593E-9	19.5609E+0
-8.05289E+0	21.4915E+3	57.6854E-9	19.2658E+0
-7.97655E+0	21.4915E+3	58.4743E-9	19.3333E+0
-7.90021E+0	21.4915E+3	58.6666E-9	18.3345E+0
-7.82388E+0	21.4915E+3	57.4896E-9	18.9986E+0
-7.74754E+0	21.4915E+3	55.6191E-9	17.6000E+0
-7.67120E+0	21.4915E+3	57.2372E-9	19.2595E+0
-7.59486E+0	21.4915E+3	55.1533E-9	17.2596E+0
-7.51852E+0	21.4915E+3	56.1610E-9	18.3066E+0
-7.44218E+0	21.4915E+3	54.3888E-9	17.3325E+0
-7.36585E+0	21.4915E+3	56.8468E-9	17.1179E+0
-7.28951E+0	21.4915E+3	55.6744E-9	18.9282E+0
-7.21317E+0	21.4915E+3	56.1175E-9	17.7547E+0
-7.13683E+0	21.4915E+3	55.1740E-9	18.2833E+0
-7.06049E+0	21.4915E+3	56.1141E-9	18.6903E+0
-6.98415E+0	21.4915E+3	54.2020E-9	17.2344E+0
-6.90782E+0	21.4915E+3	57.0142E-9	16.8818E+0
-6.83148E+0	21.4915E+3	55.5537E-9	17.9408E+0
-6.75514E+0	21.4915E+3	54.2205E-9	16.9102E+0
-6.67880E+0	21.4915E+3	54.3343E-9	17.0855E+0
-6.60246E+0	21.4915E+3	55.8476E-9	17.5406E+0
-6.52612E+0	21.4915E+3	54.5698E-9	15.5037E+0
-6.44979E+0	21.4915E+3	54.3105E-9	17.9998E+0
-6.37345E+0	21.4915E+3	54.2763E-9	16.6673E+0
-6.29711E+0	21.4915E+3	53.9956E-9	16.3940E+0
-6.22077E+0	21.4915E+3	53.6235E-9	16.5538E+0
-6.14443E+0	21.4915E+3	54.2489E-9	16.5598E+0
-6.06810E+0	21.4915E+3	51.2541E-9	17.2768E+0
-5.99176E+0	21.4915E+3	54.1084E-9	16.1657E+0
-5.91542E+0	21.4915E+3	53.7739E-9	15.3778E+0
-5.83908E+0	21.4915E+3	50.5952E-9	16.2781E+0
-5.76274E+0	21.4915E+3	53.6704E-9	16.1288E+0
-5.68640E+0	21.4915E+3	51.3554E-9	15.5350E+0
-5.61007E+0	21.4915E+3	51.8835E-9	14.6911E+0
-5.53373E+0	21.4915E+3	51.4588E-9	14.2868E+0
-5.45739E+0	21.4915E+3	52.2185E-9	16.6804E+0
-5.38105E+0	21.4915E+3	51.3542E-9	15.1380E+0
-5.30471E+0	21.4915E+3	53.0000E-9	15.5177E+0
-5.22837E+0	21.4915E+3	51.3885E-9	16.2980E+0
-5.15204E+0	21.4915E+3	52.3772E-9	15.2843E+0
-5.07570E+0	21.4915E+3	51.7320E-9	15.4748E+0
-4.99936E+0	21.4915E+3	50.0936E-9	15.2348E+0
-4.92302E+0	21.4915E+3	50.7808E-9	14.7006E+0
-4.84668E+0	21.4915E+3	51.9903E-9	15.3458E+0
-4.77034E+0	21.4915E+3	50.6401E-9	13.9707E+0
-4.69401E+0	21.4915E+3	51.3348E-9	13.8678E+0
-4.61767E+0	21.4915E+3	50.0605E-9	14.9038E+0
-4.54133E+0	21.4915E+3	48.6174E-9	15.8642E+0
-4.46499E+0	21.4915E+3	50.7279E-9	16.1928E+0
-4.38865E+0	21.4915E+3	51.0817E-9	14.2237E+0
-4.31231E+0	21.4915E+3	47.7412E-9	16.5271E+0
-4.23598E+0	21.4915E+3	50.6930E-9	13.1503E+0
-4.15964E+0	21.4915E+3	51.1447E-9	13.7560E+0
-4.08330E+0	21.4915E+3	47.6802E-9	16.0944E+0
-4.00696E+0	21.4915E+3	48.9332E-9	14.9769E+0
-3.93062E+0	21.4915E+3	49.9387E-9	12.7473E+0
-3.85428E+0	21.4915E+3	46.6551E-9	14.8003E+0
-3.77795E+0	21.4915E+3	48.8855E-9	13.3463E+0
-3.70161E+0	21.4915E+3	47.6311E-9	13.4663E+0
-3.62527E+0	21.4915E+3	46.1828E-9	14.9424E+0
-3.54893E+0	21.4915E+3	47.7366E-9	15.8016E+0
-3.47259E+0	21.4915E+3	44.9977E-9	14.5513E+0
-3.39626E+0	21.4915E+3	47.7228E-9	12.1664E+0
-3.31992E+0	21.4915E+3	48.0049E-9	14.0515E+0
-3.24358E+0	21.4915E+3	47.6836E-9	13.2484E+0
-3.16724E+0	21.4915E+3	47.5062E-9	14.1887E+0
-3.09090E+0	21.4915E+3	48.2179E-9	13.6537E+0
-3.01456E+0	21.4915E+3	48.1728E-9	13.6401E+0
-2.93823E+0	21.4915E+3	47.3884E-9	15.1739E+0
-2.86189E+0	21.4915E+3	46.0088E-9	12.6337E+0
-2.78555E+0	21.4915E+3	47.1231E-9	14.2898E+0
-2.70921E+0	21.4915E+3	46.0709E-9	13.0550E+0
-2.63287E+0	21.4915E+3	48.1264E-9	13.6686E+0
-2.55653E+0	21.4915E+3	45.6936E-9	13.9170E+0
-2.48020E+0	21.4915E+3	45.6990E-9	12.2898E+0
-2.40386E+0	21.4915E+3	43.9515E-9	13.4152E+0
-2.32752E+0	21.4915E+3	47.0607E-9	12.3613E+0
-2.25118E+0	21.4915E+3	44.7966E-9	14.5357E+0
-2.17484E+0	21.4915E+3	45.3345E-9	14.2474E+0
-2.09850E+0	21.4915E+3	45.7096E-9	12.6967E+0
-2.02217E+0	21.4915E+3	46.0835E-9	12.6612E+0
-1.94583E+0	21.4915E+3	45.6207E-9	12.9337E+0
-1.86949E+0	21.4915E+3	46.3432E-9	13.8727E+0
-1.79315E+0	21.4915E+3	43.1784E-9	11.9027E+0
-1.71681E+0	21.4915E+3	46.6839E-9	11.0522E+0
-1.64047E+0	21.4915E+3	44.6436E-9	12.5245E+0
-1.56414E+0	21.4915E+3	44.6909E-9	13.0125E+0
-1.48780E+0	21.4915E+3	44.6476E-9	12.8734E+0
-1.41146E+0	21.4915E+3	44.8453E-9	13.4057E+0
-1.33512E+0	21.4915E+3	43.6432E-9	13.5562E+0
-1.25878E+0	21.4915E+3	44.9392E-9	13.1216E+0
-1.18245E+0	21.4915E+3	45.3584E-9	13.0489E+0
-1.10611E+0	21.4915E+3	42.4374E-9	12.9388E+0
-1.02977E+0	21.4915E+3	44.8462E-9	14.8103E+0
-953.431E-3	21.4915E+3	44.7049E-9	15.6105E+0
-877.093E-3	21.4915E+3	42.9534E-9	13.7525E+0
-800.755E-3	21.4915E+3	42.5270E-9	13.8051E+0
-724.417E-3	21.4915E+3	44.5744E-9	11.4539E+0
-648.079E-3	21.4915E+3	42.9868E-9	12.7005E+0
-571.741E-3	21.4915E+3	43.8159E-9	11.2010E+0
-495.402E-3	21.4915E+3	45.4691E-9	12.4365E+0
-419.064E-3	21.4915E+3	43.0200E-9	11.0389E+0
-342.726E-3	21.4915E+3	43.6699E-9	11.6845E+0
-266.388E-3	21.4915E+3	44.0294E-9	12.7171E+0
-190.050E-3	21.4915E+3	43.0940E-9	13.0315E+0
-113.711E-3	21.4915E+3	42.9219E-9	10.5126E+0
-37.3733E-3	21.4915E+3	44.0250E-9	13.9838E+0
38.9649E-3	21.4915E+3	41.4045E-9	10.8121E+0
115.303E-3	21.4915E+3	43.8927E-9	11.7495E+0
191.641E-3	21.4915E+3	43.5612E-9	12.4023E+0
267.979E-3	21.4915E+3	44.8521E-9	11.7527E+0
344.318E-3	21.4915E+3	41.4993E-9	13.5755E+0
420.656E-3	21.4915E+3	41.4947E-9	13.2918E+0
496.994E-3	21.4915E+3	40.1692E-9	11.5517E+0
573.332E-3	21.4915E+3	42.9033E-9	11.0128E+0
649.670E-3	21.4915E+3	40.9400E-9	10.8676E+0
726.008E-3	21.4915E+3	40.6484E-9	11.6632E+0
802.347E-3	21.4915E+3	42.5319E-9	9.14734E+0
878.685E-3	21.4915E+3	41.9256E-9	9.80329E+0
955.023E-3	21.4915E+3	41.8085E-9	11.3056E+0
1.03136E+0	21.4915E+3	41.6748E-9	8.86370E+0
1.10770E+0	21.4915E+3	42.0812E-9	13.7239E+0
1.18404E+0	21.4915E+3	41.4948E-9	12.0818E+0
1.26038E+0	21.4915E+3	40.1758E-9	10.6206E+0
1.33671E+0	21.4915E+3	43.5743E-9	11.4379E+0
1.41305E+0	21.4915E+3	40.1316E-9	13.5426E+0
1.48939E+0	21.4915E+3	41.1565E-9	11.7266E+0
1.56573E+0	21.4915E+3	39.5622E-9	11.0606E+0
1.64207E+0	21.4915E+3	40.1589E-9	14.3994E+0
1.71840E+0	21.4915E+3	40.6174E-9	13.5566E+0
1.79474E+0	21.4915E+3	40.6917E-9	11.6790E+0
1.87108E+0	21.4915E+3	39.5664E-9	13.1393E+0
1.94742E+0	21.4915E+3	39.5530E-9	9.74347E+0
2.02376E+0	21.4915E+3	40.4279E-9	13.2522E+0
2.10010E+0	21.4915E+3	41.9924E-9	12.1180E+0
2.17643E+0	21.4915E+3	41.3332E-9	11.9359E+0
2.25277E+0	21.4915E+3	38.7552E-9	11.0892E+0
2.32911E+0	21.4915E+3	41.1209E-9	11.9206E+0
2.40545E+0	21.4915E+3	40.6414E-9	11.8314E+0
2.48179E+0	21.4915E+3	40.1083E-9	13.4672E+0
2.55813E+0	21.4915E+3	39.9212E-9	8.62789E+0
2.63446E+0	21.4915E+3	40.1434E-9	12.5668E+0
2.71080E+0	21.4915E+3	40.7877E-9	11.8860E+0
2.78714E+0	21.4915E+3	39.5564E-9	9.02726E+0
2.86348E+0	21.4915E+3	42.1202E-9	10.5811E+0
2.93982E+0	21.4915E+3	37.4099E-9	10.7604E+0
3.01616E+0	21.4915E+3	40.2187E-9	10.1479E+0
3.09249E+0	21.4915E+3	38.7675E-9	12.3066E+0
3.16883E+0	21.4915E+3	39.4045E-9	10.3471E+0
3.24517E+0	21.4915E+3	40.1180E-9	10.6734E+0
3.32151E+0	21.4915E+3	39.6661E-9	9.46702E+0
3.39785E+0	21.4915E+3	39.6085E-9	11.1771E+0
3.47418E+0	21.4915E+3	40.0301E-9	11.5383E+0
3.55052E+0	21.4915E+3	38.8636E-9	11.6222E+0
3.62686E+0	21.4915E+3	39.3021E-9	11.6172E+0
3.70320E+0	21.4915E+3	38.1119E-9	8.48463E+0
3.77954E+0	21.4915E+3	39.0813E-9	12.4759E+0
3.85588E+0	21.4915E+3	37.7703E-9	14.4561E+0
3.93221E+0	21.4915E+3	39.8294E-9	9.66820E+0
4.00855E+0	21.4915E+3	38.4008E-9	10.0419E+0
4.08489E+0	21.4915E+3	38.5613E-9	12.3115E+0
4.16123E+0	21.4915E+3	37.8698E-9	11.9944E+0
4.23757E+0	21.4915E+3	39.1032E-9	11.4845E+0
4.31391E+0	21.4915E+3	36.0820E-9	11.7137E+0
4.39024E+0	21.4915E+3	38.3298E-9	10.4241E+0
4.46658E+0	21.4915E+3	39.4529E-9	12.4611E+0
4.54292E+0	21.4915E+3	37.3017E-9	13.2274E+0
4.61926E+0	21.4915E+3	39.4883E-9	11.1723E+0
4.69560E+0	21.4915E+3	38.2057E-9	13.1573E+0
4.77194E+0	21.4915E+3	38.1376E-9	10.1635E+0
4.84827E+0	21.4915E+3	37.4261E-9	9.16397E+0
4.92461E+0	21.4915E+3	38.7723E-9	12.1460E+0
5.00095E+0	21.4915E+3	38.4746E-9	11.2124E+0
5.07729E+0	21.4915E+3	37.9930E-9	11.3071E+0
5.15363E+0	21.4915E+3	36.6853E-9	12.1222E+0
5.22997E+0	21.4915E+3	37.3486E-9	12.2241E+0
5.30630E+0	21.4915E+3	38.4904E-9	14.2604E+0
5.38264E+0	21.4915E+3	36.2802E-9	8.81857E+0
5.45898E+0	21.4915E+3	38.5993E-9	10.8500E+0
5.53532E+0	21.4915E+3	37.1849E-9	10.7296E+0
5.61166E+0	21.4915E+3	37.6488E-9	8.43200E+0
5.68800E+0	21.4915E+3	37.8067E-9	11.7908E+0
5.76433E+0	21.4915E+3	37.6029E-9	11.0871E+0
5.84067E+0	21.4915E+3	35.3697E-9	11.4891E+0
5.91701E+0	21.4915E+3	37.8771E-9	11.6170E+0
5.99335E+0	21.4915E+3	37.3179E-9	9.75414E+0
6.06969E+0	21.4915E+3	36.2862E-9	11.9339E+0
6.14603E+0	21.4915E+3	36.8207E-9	11.2554E+0
6.22236E+0	21.4915E+3	37.3616E-9	10.4513E+0
6.29870E+0	21.4915E+3	35.3314E-9	11.4080E+0
6.37504E+0	21.4915E+3	37.5201E-9	13.2748E+0
6.45138E+0	21.4915E+3	36.4767E-9	10.8548E+0
6.52772E+0	21.4915E+3	36.9921E-9	9.81244E+0
6.60405E+0	21.4915E+3	36.3566E-9	12.2767E+0
6.68039E+0	21.4915E+3	36.4072E-9	10.6062E+0
6.75673E+0	21.4915E+3	37.0341E-9	14.1236E+0
6.83307E+0	21.4915E+3	36.3774E-9	13.2720E+0
6.90941E+0	21.4915E+3	35.5652E-9	8.67965E+0
6.98575E+0	21.4915E+3	36.3562E-9	13.1319E+0
7.06208E+0	21.4915E+3	34.9842E-9	9.62534E+0
7.13842E+0	21.4915E+3	37.2540E-9	11.6191E+0
7.21476E+0	21.4915E+3	36.8305E-9	9.48334E+0
7.29110E+0	21.4915E+3	36.5617E-9	10.5922E+0
7.36744E+0	21.4915E+3	36.1115E-9	11.0003E+0
7.44378E+0	21.4915E+3	36.9905E-9	9.73514E+0
7.52011E+0	21.4915E+3	35.6314E-9	11.0924E+0
7.59645E+0	21.4915E+3	37.1438E-9	9.75144E+0
7.67279E+0	21.4915E+3	36.6011E-9	8.86100E+0
7.74913E+0	21.4915E+3	36.4593E-9	8.93079E+0
7.82547E+0	21.4915E+3	35.5565E-9	11.0220E+0
7.90181E+0	21.4915E+3	36.0531E-9	13.4112E+0
7.97814E+0	21.4915E+3	35.3095E-9	9.80086E+0
8.05448E+0	21.4915E+3	35.1054E-9	11.1146E+0
8.13082E+0	21.4915E+3	34.9402E-9	11.3774E+0
8.20716E+0	21.4915E+3	35.3749E-9	13.1260E+0
8.28350E+0	21.4915E+3	35.2412E-9	11.2937E+0
8.35983E+0	21.4915E+3	34.8810E-9	10.4272E+0
8.43617E+0	21.4915E+3	35.5696E-9	10.8021E+0
8.51251E+0	21.4915E+3	35.9171E-9	8.92194E+0
8.58885E+0	21.4915E+3	34.7635E-9	11.1363E+0
8.66518E+0	21.4915E+3	35.4505E-9	9.87460E+0
8.74152E+0	21.4915E+3	36.6980E-9	11.5884E+0
8.81786E+0	21.4915E+3	34.6267E-9	9.72684E+0
8.89420E+0	21.4915E+3	35.8048E-9	11.5946E+0
8.97054E+0	21.4915E+3	35.3052E-9	10.5335E+0
9.04687E+0	21.4915E+3	34.2775E-9	9.20425E+0
9.12321E+0	21.4915E+3	36.2003E-9	10.6795E+0
9.19955E+0	21.4915E+3	35.2591E-9	9.15469E+0
9.27589E+0	21.4915E+3	34.8804E-9	12.1238E+0
9.35223E+0	21.4915E+3	36.0635E-9	11.0976E+0
9.42856E+0	21.4915E+3	34.5590E-9	12.1342E+0
9.50490E+0	21.4915E+3	34.6683E-9	9.76173E+0
9.58124E+0	21.4915E+3	35.1014E-9	11.1968E+0
9.65758E+0	21.4915E+3	34.8103E-9	11.2966E+0
9.73391E+0	21.4915E+3	34.3196E-9	8.20129E+0
9.81025E+0	21.4915E+3	35.0307E-9	12.9784E+0
9.88659E+0	21.4915E+3	34.7997E-9	9.56503E+0
9.96293E+0	21.4915E+3	34.0013E-9	13.0576E+0
10.0393E+0	21.4915E+3	34.4539E-9	9.66450E+0
10.1156E+0	21.4915E+3	33.9568E-9	10.2278E+0
10.1919E+0	21.4915E+3	34.5553E-9	10.5050E+0
10.2683E+0	21.4915E+3	34.3991E-9	10.9408E+0
10.3446E+0	21.4915E+3	34.9741E-9	8.11555E+0
10.4210E+0	21.4915E+3	34.3380E-9	8.50186E+0
10.4973E+0	21.4915E+3	34.3222E-9	11.0371E+0
10.5736E+0	21.4915E+3	34.2030E-9	8.81133E+0
10.6500E+0	21.4915E+3	33.0060E-9	9.83443E+0
10.7263E+0	21.4915E+3	35.5269E-9	9.09033E+0
10.8026E+0	21.4915E+3	34.5785E-9	11.9912E+0
10.8790E+0	21.4915E+3	32.1661E-9	12.6230E+0
10.9553E+0	21.4915E+3	34.6545E-9	9.32399E+0
11.0317E+0	21.4915E+3	35.1824E-9	13.5577E+0
11.1080E+0	21.4915E+3	33.5528E-9	11.0511E+0
11.1843E+0	21.4915E+3	33.0891E-9	11.1796E+0
11.2607E+0	21.4915E+3	34.0670E-9	9.84517E+0
11.3370E+0	21.4915E+3	33.5183E-9	12.2868E+0
11.4133E+0	21.4915E+3	33.9372E-9	10.5714E+0
11.4897E+0	21.4915E+3	33.2394E-9	7.91468E+0
11.5660E+0	21.4915E+3	33.4152E-9	9.41782E+0
11.6424E+0	21.4915E+3	33.3759E-9	12.5747E+0
11.7187E+0	21.4915E+3	33.2056E-9	10.0016E+0
11.7950E+0	21.4915E+3	35.2113E-9	10.2022E+0
11.8714E+0	21.4915E+3	33.5348E-9	9.69855E+0
11.9477E+0	21.4915E+3	32.1668E-9	7.38728E+0
12.0240E+0	21.4915E+3	33.3380E-9	13.1846E+0
12.1004E+0	21.4915E+3	33.6215E-9	7.91341E+0
12.1767E+0	21.4915E+3	33.7604E-9	10.2955E+0
12.2531E+0	21.4915E+3	32.2994E-9	9.30398E+0
12.3294E+0	21.4915E+3	31.9418E-9	13.0244E+0
12.4057E+0	21.4915E+3	33.5797E-9	9.88985E+0
12.4821E+0	21.4915E+3	31.8023E-9	9.91144E+0
12.5584E+0	21.4915E+3	34.0418E-9	11.4167E+0
12.6348E+0	21.4915E+3	33.4727E-9	8.34048E+0
12.7111E+0	21.4915E+3	32.7516E-9	12.9381E+0
12.7874E+0	21.4915E+3	33.5968E-9	8.62185E+0
12.8638E+0	21.4915E+3	34.0921E-9	10.9311E+0
12.9401E+0	21.4915E+3	33.1994E-9	11.4858E+0
13.0164E+0	21.4915E+3	34.1355E-9	9.02254E+0
13.0928E+0	21.4915E+3	32.8771E-9	11.0002E+0
13.1691E+0	21.4915E+3	31.4546E-9	13.1788E+0
13.2455E+0	21.4915E+3	31.6349E-9	11.2112E+0
13.3218E+0	21.4915E+3	34.1100E-9	10.8113E+0
13.3981E+0	21.4915E+3	32.8750E-9	11.9650E+0
13.4745E+0	21.4915E+3	34.8536E-9	11.2047E+0
13.5508E+0	21.4915E+3	33.2049E-9	10.3725E+0
13.6271E+0	21.4915E+3	32.0045E-9	14.6343E+0
13.7035E+0	21.4915E+3	33.7487E-9	12.2765E+0
13.7798E+0	21.4915E+3	29.4853E-9	11.9076E+0
13.8562E+0	21.4915E+3	32.1622E-9	11.2580E+0
13.9325E+0	21.4915E+3	32.5879E-9	12.1726E+0
14.0088E+0	21.4915E+3	33.3795E-9	9.24659E+0
14.0852E+0	21.4915E+3	29.6269E-9	8.37857E+0
14.1615E+0	21.4915E+3	31.6297E-9	12.7568E+0
14.2378E+0	21.4915E+3	31.2500E-9	12.7045E+0
14.3142E+0	21.4915E+3	32.0714E-9	10.3365E+0
14.3905E+0	21.4915E+3	31.6922E-9	8.87461E+0
14.4669E+0	21.4915E+3	33.0607E-9	11.3759E+0
14.5432E+0	21.4915E+3	29.0682E-9	10.8207E+0
14.6195E+0	21.4915E+3	33.3142E-9	13.0984E+0
14.6959E+0	21.4915E+3	32.0705E-9	8.60952E+0
14.7722E+0	21.4915E+3	33.6945E-9	11.6680E+0
14.8485E+0	21.4915E+3	31.1785E-9	11.2428E+0
14.9249E+0	21.4915E+3	31.8746E-9	9.56790E+0
15.0012E+0	21.4915E+3	30.2961E-9	10.9602E+0
15.0776E+0	21.4915E+3	33.3833E-9	11.1313E+0
15.1539E+0	21.4915E+3	30.6013E-9	11.9694E+0
15.2302E+0	21.4915E+3	32.1380E-9	11.9266E+0
15.3066E+0	21.4915E+3	31.5130E-9	11.3831E+0
15.3829E+0	21.4915E+3	33.1430E-9	7.80259E+0
15.4593E+0	21.4915E+3	32.5810E-9	11.9690E+0
15.5356E+0	21.4915E+3	31.7966E-9	10.5107E+0
15.6119E+0	21.4915E+3	31.4447E-9	9.95992E+0
15.6883E+0	21.4915E+3	30.2793E-9	16.1182E+0
15.7646E+0	21.4915E+3	33.2681E-9	11.0944E+0
15.8409E+0	21.4915E+3	32.5848E-9	9.87021E+0
15.9173E+0	21.4915E+3	31.3910E-9	12.9884E+0
15.9936E+0	21.4915E+3	30.8856E-9	15.0741E+0
16.0700E+0	21.4915E+3	31.0490E-9	13.5180E+0
16.1463E+0	21.4915E+3	32.1675E-9	13.7683E+0
16.2226E+0	21.4915E+3	31.1148E-9	13.1351E+0
16.2990E+0	21.4915E+3	31.2680E-9	11.5539E+0
16.3753E+0	21.4915E+3	29.5092E-9	8.43199E+0
16.4516E+0	21.4915E+3	30.1554E-9	9.87862E+0
16.5280E+0	21.4915E+3	30.9286E-9	13.8370E+0
16.6043E+0	21.4915E+3	32.8710E-9	12.4899E+0
16.6807E+0	21.4915E+3	31.6259E-9	11.8463E+0
16.7570E+0	21.4915E+3	30.8684E-9	10.0008E+0
16.8333E+0	21.4915E+3	30.9886E-9	9.74817E+0
16.9097E+0	21.4915E+3	29.6322E-9	7.58959E+0
16.9860E+0	21.4915E+3	31.7406E-9	11.6325E+0
17.0623E+0	21.4915E+3	31.3831E-9	9.58537E+0
17.1387E+0	21.4915E+3	31.8429E-9	11.5551E+0
17.2150E+0	21.4915E+3	31.6745E-9	13.4627E+0
17.2914E+0	21.4915E+3	28.9677E-9	9.61419E+0
17.3677E+0	21.4915E+3	31.0057E-9	9.09959E+0
17.4440E+0	21.4915E+3	31.0378E-9	9.24529E+0
17.5204E+0	21.4915E+3	30.5033E-9	8.64370E+0
17.5967E+0	21.4915E+3	30.1252E-9	10.0545E+0
17.6730E+0	21.4915E+3	31.4594E-9	9.34102E+0
17.7494E+0	21.4915E+3	30.9297E-9	10.8168E+0
17.8257E+0	21.4915E+3	31.3135E-9	12.1175E+0
17.9021E+0	21.4915E+3	31.1812E-9	9.77984E+0
17.9784E+0	21.4915E+3	29.8887E-9	8.15003E+0
18.0547E+0	21.4915E+3	29.7169E-9	9.24037E+0
18.1311E+0	21.4915E+3	29.8121E-9	9.70138E+0
18.2074E+0	21.4915E+3	30.5342E-9	7.78732E+0
18.2838E+0	21.4915E+3	29.9685E-9	13.2689E+0
18.3601E+0	21.4915E+3	30.2020E-9	9.98176E+0
18.4364E+0	21.4915E+3	31.4559E-9	8.75492E+0
18.5128E+0	21.4915E+3	30.1749E-9	13.0904E+0
18.5891E+0	21.4915E+3	29.9613E-9	12.3715E+0
18.6654E+0	21.4915E+3	29.0102E-9	10.4325E+0
18.7418E+0	21.4915E+3	31.5178E-9	11.5194E+0
18.8181E+0	21.4915E+3	30.0872E-9	9.05184E+0
