Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-59.3526E+0	21.4915E+3	13.8388E-9	65.9361E+0
-59.2762E+0	21.4915E+3	15.0952E-9	68.8249E+0
-59.1999E+0	21.4915E+3	15.1840E-9	66.3973E+0
-59.1236E+0	21.4915E+3	15.0203E-9	71.0649E+0
-59.0472E+0	21.4915E+3	13.8046E-9	74.3169E+0
-58.9709E+0	21.4915E+3	14.7066E-9	67.4609E+0
-58.8945E+0	21.4915E+3	14.9927E-9	62.8626E+0
-58.8182E+0	21.4915E+3	14.7647E-9	58.8946E+0
-58.7419E+0	21.4915E+3	14.3362E-9	70.7354E+0
-58.6655E+0	21.4915E+3	14.1519E-9	63.8079E+0
-58.5892E+0	21.4915E+3	15.0688E-9	66.1427E+0
-58.5128E+0	21.4915E+3	14.6612E-9	64.5363E+0
-58.4365E+0	21.4915E+3	14.8061E-9	61.9926E+0
-58.3602E+0	21.4915E+3	14.7195E-9	70.5844E+0
-58.2838E+0	21.4915E+3	14.0051E-9	68.9848E+0
-58.2075E+0	21.4915E+3	14.6627E-9	66.9938E+0
-58.1311E+0	21.4915E+3	14.6809E-9	65.0627E+0
-58.0548E+0	21.4915E+3	13.4894E-9	66.1987E+0
-57.9785E+0	21.4915E+3	14.4994E-9	75.0577E+0
-57.9021E+0	21.4915E+3	14.6441E-9	71.8176E+0
-57.8258E+0	21.4915E+3	14.9081E-9	65.3651E+0
-57.7495E+0	21.4915E+3	14.3441E-9	66.9743E+0
-57.6731E+0	21.4915E+3	14.5091E-9	67.2089E+0
-57.5968E+0	21.4915E+3	14.2585E-9	69.2641E+0
-57.5204E+0	21.4915E+3	14.8078E-9	70.0106E+0
-57.4441E+0	21.4915E+3	14.3353E-9	68.2901E+0
-57.3678E+0	21.4915E+3	15.0791E-9	73.5107E+0
-57.2914E+0	21.4915E+3	13.8634E-9	70.4914E+0
-57.2151E+0	21.4915E+3	13.9359E-9	73.8650E+0
-57.1387E+0	21.4915E+3	15.4516E-9	72.7648E+0
-57.0624E+0	21.4915E+3	14.9194E-9	68.2870E+0
-56.9861E+0	21.4915E+3	14.4253E-9	73.5284E+0
-56.9097E+0	21.4915E+3	13.7896E-9	64.3023E+0
-56.8334E+0	21.4915E+3	13.7021E-9	73.9930E+0
-56.7570E+0	21.4915E+3	14.3644E-9	71.5684E+0
-56.6807E+0	21.4915E+3	13.7155E-9	67.6505E+0
